Date,Month,Year,VOL1,VOL7,VOL30,ClosePrice ,OpenPrice,HighPrice,LowPrice,Market Volumn,Average Block Size,Average Transaction Per Block,Hash Rate,Network Difficulty,Unique Addresses,Transactions Per Second,SP500,RUSSELL,Oil,Gold,Silver,USDEUR,USDYUAN,Interest Rate,Economic Uncertainty,Crypto Index
04/02/2018,2,2018,0.058984,0.104624,0.204218,8277.01,9175.70,9334.87,8031.22,7073549824,0.99,975.77,23033142.1,2.60308E+12,396695,2.05,2648.94,1491.09,64.18,1336.5,16.71,0.8,6.3,1.8,0.234505,30
05/02/2018,2,2018,0.082982,0.130688,0.219808,6955.27,8270.54,8364.84,6756.68,9285289984,1.1,1169.53,23938939.8,2.60308E+12,486554,1.93,2648.94,1491.09,64.18,1336.5,16.67,0.8,6.31,1.8,0.248054,15
06/02/2018,2,2018,0.041061,0.134668,0.221316,7754.00,7051.75,7850.70,6048.26,13999800320,1.07,1436,24293141.3,2.60787E+12,589897,2.47,2695.14,1507.17,63.48,1329.5,16.58,0.81,6.29,1.82,0.2232281,40
07/02/2018,2,2018,0.041213,0.136422,0.222866,7621.30,7755.49,8509.11,7236.79,9169280000,1.07,1515.74,20149017.2,2.87467E+12,489403,2.69,2681.66,1507.97,61.91,1314.6,16.24,0.81,6.28,1.85,0.201785,24
08/02/2018,2,2018,0.030796,0.130387,0.222486,8265.59,7637.86,8558.77,7637.86,9346750464,1.05,1322.82,18720008.9,2.87467E+12,398608,2.39,2581,1463.79,61.3,1319,16.34,0.82,6.27,1.85,0.1836038,11
09/02/2018,2,2018,0.035033,0.130466,0.220972,8736.98,8271.84,8736.98,7884.71,6784820224,1.08,1317.48,19291612.2,2.87467E+12,462087,1.94,2619.55,1477.84,59.2,1315.7,16.14,0.82,6.33,1.83,0.1687902,8
10/02/2018,2,2018,0.033655,0.131483,0.221528,8621.90,8720.08,9122.55,8295.47,7780960256,1.04,1271.21,20434818.9,2.87467E+12,421548,2.07,2656,1477.84,59.41,1326.4,16.14,0.82,6.33,1.87,0.1669917,36
11/02/2018,2,2018,0.030009,0.120662,0.223007,8129.97,8616.13,8616.13,7931.10,6122189824,1.01,974.89,21578025.5,2.87467E+12,368625,1.95,2656,1477.84,59.41,1326.4,16.14,0.82,6.33,1.87,0.1585803,30
12/02/2018,2,2018,0.02026,0.089821,0.222682,8926.57,8141.43,8985.92,8141.43,6256439808,1.04,1126.01,23721538,2.87467E+12,437381,1.66,2656,1490.98,59.41,1326.4,16.57,0.82,6.29,1.87,0.1546332,44
13/02/2018,2,2018,0.01877,0.082238,0.222767,8598.31,8926.72,8958.47,8455.41,5696719872,1.03,1115.76,23435736.3,2.87467E+12,414750,2.08,2662.94,1494.95,59.33,1330.4,16.53,0.81,6.33,1.89,0.1612792,54
14/02/2018,2,2018,0.024957,0.075483,0.214451,9494.63,8599.92,9518.54,8599.92,7909819904,1.02,1097.3,25579248.8,2.87467E+12,450368,2.08,2698.63,1522.1,60.7,1358,16.88,0.81,6.34,1.92,0.1658185,31
15/02/2018,2,2018,0.024561,0.073148,0.20089,10166.40,9488.32,10234.80,9395.58,9062540288,1.06,1512.85,18720008.9,2.87467E+12,475030,2.19,2731.2,1537.2,61.48,1355.3,16.8,0.8,6.35,1.93,0.1650925,42
16/02/2018,2,2018,0.016755,0.066219,0.197091,10233.90,10135.70,10324.10,9824.82,7296159744,0.99,1195.78,22435430.5,2.87467E+12,422416,2.17,2732.22,1529.99,61.89,1356.2,16.8,0.8,6.35,1.94,0.1659983,35
17/02/2018,2,2018,0.035616,0.067323,0.19745,11112.70,10207.50,11139.50,10149.40,8660880384,0.97,1166.37,21292223.9,2.87467E+12,401861,2.11,2716.26,1529.99,61.91,1331.2,16.8,0.8,6.35,1.94,0.1573143,55
18/02/2018,2,2018,0.024105,0.064866,0.195908,10551.80,11123.40,11349.80,10326.00,8744009728,0.97,984.54,23149934.7,2.87467E+12,378870,1.94,2716.26,1529.99,61.91,1331.2,16.8,0.8,6.35,1.94,0.1435688,71
19/02/2018,2,2018,0.015114,0.063135,0.193833,11225.30,10552.60,11273.80,10513.20,7652089856,1.01,1156.59,23149934.7,2.87467E+12,436342,1.76,2716.26,1529.99,61.91,1331.2,16.8,0.81,6.34,1.94,0.1253225,67
20/02/2018,2,2018,0.02496,0.06656,0.191373,11403.70,11231.80,11958.50,11231.80,9926540288,1.01,1407.48,21079198.7,2.96785E+12,455117,2.03,2716.26,1529.99,61.91,1331.2,16.51,0.81,6.35,1.94,0.1331295,74
21/02/2018,2,2018,0.027661,0.067559,0.188829,10690.40,11372.20,11418.50,10479.10,9405339648,0.99,1214.21,25265138.8,3.00738E+12,459676,2.24,2701.33,1531.84,61.73,1332.1,16.68,0.81,6.35,1.96,0.1329512,63
22/02/2018,2,2018,0.02084,0.066269,0.1879,10005.00,10660.40,11039.10,9939.09,8040079872,0.92,1229.77,22275181.6,3.00738E+12,499534,2.36,2703.96,1529.99,62.72,1332.7,16.64,0.81,6.35,1.95,0.1296431,67
23/02/2018,2,2018,0.02522,0.068563,0.188076,10301.10,9937.07,10487.30,9734.56,7739500032,1.01,1251.3,22125683.7,3.00738E+12,424503,2.11,2747.3,1549.19,63.52,1330.3,16.55,0.81,6.35,1.95,0.1323689,74
24/02/2018,2,2018,0.017916,0.06131,0.186397,9813.07,10287.70,10597.20,9546.97,6917929984,1.03,1065.75,21677190.1,3.00738E+12,355222,2.05,2779.6,1549.19,63.81,1332.8,16.55,0.81,6.35,1.96,0.1347899,54
25/02/2018,2,2018,0.020879,0.060522,0.185478,9664.73,9796.42,9923.22,9407.06,5706939904,0.71,847.19,25564134.6,3.00738E+12,355806,1.72,2779.6,1549.19,63.81,1332.8,16.55,0.81,6.35,1.96,0.135914,44
26/02/2018,2,2018,0.020766,0.06205,0.185598,10366.70,9669.43,10475.00,9501.73,7287690240,0.98,1322.51,21079198.7,3.00738E+12,435990,1.59,2779.6,1559.33,63.81,1332.8,16.62,0.81,6.33,1.96,0.1543178,39
27/02/2018,2,2018,0.01977,0.059173,0.185908,10725.60,10393.90,10878.50,10246.10,6966179840,1.02,1372.65,23919658.1,3.00738E+12,494788,2.16,2744.28,1536.47,62.94,1315.5,16.35,0.81,6.31,2.02,0.1653354,31
28/02/2018,2,2018,0.016858,0.054879,0.184047,10397.90,10687.20,11089.80,10393.10,6936189952,1.05,1220.79,23172168.7,3.00738E+12,469401,2.41,2713.83,1512.45,61.43,1317.9,16.41,0.82,6.32,2.01,0.1883645,33
01/03/2018,3,2018,0.017668,0.053743,0.183075,10951.00,10385.00,11052.30,10352.70,7317279744,1.07,1416.63,24667147.4,3.00738E+12,514905,2.33,2677.67,1507.39,60.98,1305.2,16.28,0.82,6.33,1.99,0.1802446,37
02/03/2018,3,2018,0.012066,0.048653,0.18,11086.40,10977.40,11189.00,10850.10,7620590080,0.86,1250.47,23321666.6,3.00738E+12,524247,2.28,2691.25,1533.17,61.19,1323.4,16.47,0.81,6.36,2,0.163214,44
03/03/2018,3,2018,0.014161,0.047401,0.173225,11489.70,11101.90,11528.20,11002.40,6690570240,0.98,983.47,26909615.3,3.00738E+12,416967,2.24,2720.94,1533.17,62.49,1319.9,16.47,0.81,6.36,2,0.1474395,41
04/03/2018,3,2018,0.009089,0.043215,0.169984,11512.60,11497.40,11512.60,11136.10,6084149760,1,1082.64,22125683.7,3.00738E+12,383192,1.97,2720.94,1533.17,62.49,1319.9,16.47,0.81,6.36,2,0.1358938,38
05/03/2018,3,2018,0.01706,0.042072,0.168344,11573.30,11532.40,11704.10,11443.90,6468539904,1.02,1351.93,24372959.7,3.23358E+12,457317,1.8,2720.94,1546.05,62.49,1319.9,16.41,0.81,6.35,2,0.1253346,47
06/03/2018,3,2018,0.036231,0.052286,0.161525,10779.90,11500.10,11500.10,10694.30,6832169984,1.02,1320.62,25517998.1,3.29061E+12,453774,2.27,2728.12,1562.2,62.54,1335.2,16.78,0.81,6.35,2,0.1190514,56
07/03/2018,3,2018,0.033008,0.059456,0.1424,9965.57,10803.90,10929.50,9692.12,8797910016,1.02,1362.92,25681575,3.29061E+12,474917,2.37,2726.8,1574.53,61.09,1327.6,16.49,0.81,6.31,1.99,0.1110391,44
08/03/2018,3,2018,0.040301,0.069567,0.142194,9395.01,9951.44,10147.40,9335.87,7186089984,1.02,1212.48,26499459.6,3.29061E+12,439934,2.42,2738.97,1571.97,60.13,1321.7,16.5,0.81,6.33,1.99,0.1024283,55
09/03/2018,3,2018,0.024425,0.072574,0.138277,9337.55,9414.69,9466.35,8513.03,8704190464,1.03,1357.4,23882229,3.29061E+12,487167,2.21,2786.57,1597.14,62.02,1324,16.61,0.81,6.34,1.97,0.0992842,59
10/03/2018,3,2018,0.031635,0.078369,0.138568,8866.00,9350.59,9531.32,8828.47,5386319872,1.01,1115.91,22900767.5,3.29061E+12,354483,2.26,2783.02,1597.14,61.35,1320.8,16.61,0.81,6.34,1.98,0.1115181,37
11/03/2018,3,2018,0.032848,0.084407,0.138064,9578.63,8852.78,9711.89,8607.12,6296370176,1.01,986.17,25027267.4,3.29061E+12,349041,1.76,2783.02,1597.14,61.35,1320.8,16.61,0.81,6.34,1.98,0.1119949,39
12/03/2018,3,2018,0.032224,0.088681,0.137721,9205.12,9602.93,9937.50,8956.43,6457399808,0.95,1170.15,26335882.7,3.29061E+12,426765,1.67,2783.02,1601.06,61.35,1320.8,16.54,0.81,6.33,1.98,0.1198564,37
13/03/2018,3,2018,0.027257,0.0857,0.13747,9194.85,9173.04,9470.38,8958.19,5991139840,0.89,1241.39,25845151.9,3.29061E+12,419995,2.13,2765.31,1592.05,60.69,1327.1,16.63,0.81,6.33,1.97,0.1230852,39
14/03/2018,3,2018,0.033666,0.086012,0.140076,8269.81,9214.65,9355.85,8068.59,6438230016,0.75,1326.68,23555075.2,3.29061E+12,418369,2.23,2749.48,1584.31,60.89,1325.6,16.54,0.81,6.32,1.98,0.1354326,40
15/03/2018,3,2018,0.025111,0.080061,0.140889,8300.86,8290.76,8428.35,7783.05,6834429952,0.77,1431.85,23555075.2,3.29061E+12,459150,2.18,2747.33,1576.62,61.16,1317.8,16.42,0.81,6.32,2,0.1307921,41
16/03/2018,3,2018,0.020688,0.079141,0.140167,8338.35,8322.91,8585.15,8005.31,5289379840,0.68,1198.58,25517998.1,3.29061E+12,457061,2.31,2752.01,1586.05,62.29,1312.3,16.27,0.81,6.32,2.01,0.1330317,41
17/03/2018,3,2018,0.04181,0.083447,0.144217,7916.88,8321.91,8346.53,7812.82,4426149888,0.52,1036.89,24372959.7,3.29061E+12,352699,2.13,2712.92,1586.05,62.01,1317.8,16.27,0.81,6.32,2.01,0.1444808,40
18/03/2018,3,2018,0.023275,0.080188,0.144966,8223.68,7890.52,8245.51,7397.99,6639190016,0.7,1088.75,25990711.3,3.3817E+12,382258,1.73,2712.92,1586.05,62.01,1317.8,16.27,0.81,6.32,2.01,0.1533121,32
19/03/2018,3,2018,0.022787,0.077175,0.14252,8630.65,8344.12,8675.87,8182.40,6729110016,0.68,1235.66,26679207,3.46254E+12,421648,1.85,2712.92,1570.56,62.01,1317.8,16.33,0.81,6.34,2.01,0.1418347,33
20/03/2018,3,2018,0.013955,0.072656,0.141118,8913.47,8619.67,9051.02,8389.89,6361789952,0.79,1536.76,21859737.3,3.46254E+12,423963,2.18,2716.94,1570.41,63.37,1311.9,16.19,0.81,6.33,2.01,0.1377886,31
21/03/2018,3,2018,0.018499,0.067081,0.141431,8929.28,8937.48,9177.37,8846.33,6043129856,0.67,1281.88,26162835.2,3.46254E+12,424456,2.21,2711.93,1579.3,65.1,1321.5,16.42,0.82,6.33,1.99,0.1269304,29
22/03/2018,3,2018,0.019395,0.065137,0.14016,8728.47,8939.44,9100.71,8564.90,5530390016,0.8,1295.01,24613720,3.46254E+12,418188,2.22,2643.69,1543.87,64.25,1333.2,16.39,0.81,6.32,1.98,0.1251809,29
23/03/2018,3,2018,0.021412,0.065054,0.139035,8879.62,8736.25,8879.62,8360.62,5954120192,0.83,1352.02,22892480.8,3.46254E+12,430897,2.09,2588.26,1510.08,65.8,1355.7,16.58,0.81,6.33,1.97,0.1081841,37
24/03/2018,3,2018,0.012488,0.051358,0.13803,8668.12,8901.95,8996.18,8665.70,5664600064,0.6,1006.97,26851330.9,3.46254E+12,360667,2.03,2658.55,1510.08,65.49,1360.9,16.58,0.81,6.33,1.99,0.089727,36
25/03/2018,3,2018,0.01513,0.048813,0.136711,8495.78,8612.81,8682.01,8449.10,4569880064,0.57,1002.03,23236728.6,3.46254E+12,318933,1.78,2658.55,1510.08,65.49,1360.9,16.58,0.81,6.33,1.99,0.0881912,36
26/03/2018,3,2018,0.028492,0.05127,0.1385,8209.40,8498.47,8530.08,7921.43,5921039872,0.71,1252.33,25818587.4,3.46254E+12,416732,1.55,2658.55,1543.72,65.49,1360.9,16.68,0.81,6.32,1.99,0.0837145,28
27/03/2018,3,2018,0.016952,0.05216,0.137756,7833.04,8200.00,8232.78,7797.28,5378250240,0.76,1230.69,26162835.2,3.46254E+12,414091,2.1,2612.62,1513.57,65.21,1347.9,16.54,0.8,6.27,2.04,0.0738016,32
28/03/2018,3,2018,0.022969,0.054441,0.138314,7954.48,7836.83,8122.89,7809.17,4935289856,0.73,1314.97,23236728.6,3.46254E+12,395196,2.11,2605,1513.03,64.3,1330,16.25,0.81,6.28,2.06,0.0780896,30
29/03/2018,3,2018,0.040249,0.064795,0.142688,7165.70,7979.07,7994.33,7081.38,6361229824,0.68,1265.86,26162835.2,3.46254E+12,428778,2.05,2640.87,1529.43,64.87,1327.3,16.27,0.81,6.3,2.03,0.0846305,31
30/03/2018,3,2018,0.026682,0.066718,0.144107,6890.52,7171.45,7276.66,6683.93,6289509888,0.63,1147.78,27884074.4,3.46254E+12,449630,2.17,2581.88,1529.43,63.05,1352.9,16.27,0.81,6.29,2.02,0.0841837,24
31/03/2018,3,2018,0.028848,0.071591,0.145888,6973.53,6892.48,7207.85,6863.52,4553269760,0.68,1161.07,22031861.2,3.46254E+12,332753,2.09,2581.88,1529.43,63.05,1352.9,16.27,0.81,6.29,2.02,0.0821105,24
01/04/2018,4,2018,0.020067,0.072689,0.14676,6844.23,7003.06,7060.95,6526.87,4532100096,0.45,834.13,28274794.2,3.49429E+12,316429,1.66,2581.88,1529.43,63.05,1352.9,16.27,0.81,6.29,2.02,0.075214,18
02/04/2018,4,2018,0.015671,0.068977,0.147062,7083.80,6844.86,7135.47,6816.58,4333440000,0.57,1078.06,27227579.6,3.51106E+12,377674,1.52,2581.88,1492.53,63.05,1352.9,16.67,0.81,6.28,2.02,0.0509447,12
03/04/2018,4,2018,0.020286,0.070153,0.148283,7456.11,7102.26,7530.94,7072.49,5499700224,0.68,1220.36,28449330,3.51106E+12,435411,1.91,2614.45,1512.15,63.41,1337.3,16.39,0.81,6.28,2.03,0.0604093,16
04/04/2018,4,2018,0.023933,0.069961,0.149152,6853.84,7456.41,7469.88,6803.88,4936000000,0.72,1263.33,25656757.7,3.51106E+12,432978,2.24,2644.69,1531.66,63.35,1340.2,16.25,0.81,6.29,2.01,0.0483217,16
05/04/2018,4,2018,0.017614,0.059865,0.14564,6811.47,6848.65,6933.82,6644.80,5639320064,0.65,1165.59,27227579.6,3.51106E+12,398398,2.08,2662.84,1542.93,63.53,1328.5,16.36,0.81,6.3,2.01,0.0250787,11
06/04/2018,4,2018,0.01951,0.057232,0.143218,6636.32,6815.96,6857.49,6575.00,3766810112,0.83,1252.82,24085935.8,3.51106E+12,471571,2.06,2604.47,1513.3,62.03,1336.1,16.36,0.82,6.3,2,0.0061993,22
07/04/2018,4,2018,0.010648,0.050544,0.137827,6911.09,6630.51,7050.54,6630.51,3976610048,0.54,859.11,31416438,3.51106E+12,331189,1.95,2613.16,1513.3,63.4,1340.1,16.36,0.82,6.3,2.01,-0.0072169,22
08/04/2018,4,2018,0.021015,0.051002,0.137288,7023.52,6919.98,7111.56,6919.98,3652499968,0.43,860.47,28100258.5,3.51106E+12,311300,1.74,2613.16,1513.3,63.4,1340.1,16.36,0.82,6.3,2.01,0.0048734,17
09/04/2018,4,2018,0.010206,0.049249,0.133798,6770.73,7044.32,7178.11,6661.99,4894060032,0.74,1201.11,25656757.7,3.51106E+12,384890,1.57,2613.16,1514.46,63.4,1340.1,16.53,0.81,6.31,2.01,-0.0048942,19
10/04/2018,4,2018,0.007679,0.044966,0.129901,6834.76,6795.44,6872.41,6704.15,4272750080,0.68,1136.68,28623865.8,3.51106E+12,414049,1.99,2656.87,1543.43,65.48,1345.9,16.6,0.81,6.31,2.02,-0.0233163,20
11/04/2018,4,2018,0.048086,0.062143,0.135243,6968.32,6843.47,6968.32,6817.59,4641889792,0.64,1138.19,28100258.5,3.51106E+12,399073,2.1,2642.19,1546.8,66.81,1360,16.77,0.81,6.28,2.02,-0.0207445,17
12/04/2018,4,2018,0.022739,0.063716,0.133988,7889.25,6955.38,7899.23,6806.51,8906250240,0.83,1369.34,26878508.1,3.51106E+12,442158,2.06,2663.99,1557.33,67.07,1341.9,16.47,0.81,6.27,2.04,-0.015986,21
13/04/2018,4,2018,0.014509,0.062313,0.130484,7895.96,7901.09,8183.96,7758.93,7764460032,0.72,1316.86,28798401.5,3.51106E+12,503406,2.42,2656.3,1549.51,67.35,1347.9,16.66,0.81,6.29,2.05,-0.0080718,18
14/04/2018,4,2018,0.013344,0.062812,0.128758,7986.24,7874.67,8140.71,7846.00,5191430144,0.8,1181.34,26146926.5,3.79619E+12,363643,2.43,2677.84,1549.51,66.23,1350.7,16.66,0.81,6.29,2.05,-0.0021452,20
15/04/2018,4,2018,0.01487,0.061008,0.127863,8329.11,7999.33,8338.42,7999.33,5244480000,0.85,1067.67,31109117,3.83932E+12,408545,1.86,2677.84,1549.51,66.23,1350.7,16.66,0.81,6.29,2.05,0.0163499,18
16/04/2018,4,2018,0.012524,0.061518,0.121449,8058.67,8337.57,8371.15,7925.73,5631309824,0.97,1390.82,26910340.4,3.83932E+12,433712,1.92,2677.84,1563.03,66.23,1350.7,16.68,0.81,6.27,2.05,0.0114795,23
17/04/2018,4,2018,0.015816,0.063045,0.120268,7902.09,8071.66,8285.96,7881.72,6900879872,0.73,1245.8,30918263.5,3.83932E+12,451453,2.22,2706.39,1579.8,66.5,1349.5,16.79,0.81,6.28,2.08,0.0177698,26
18/04/2018,4,2018,0.005531,0.039941,0.118056,8163.42,7944.43,8197.80,7886.01,6529909760,0.67,1254.63,30536556.5,3.83932E+12,451617,2.29,2708.64,1583.56,68.44,1353.5,17.25,0.81,6.28,2.09,0.0058997,24
19/04/2018,4,2018,0.011586,0.034861,0.117831,8294.31,8159.27,8298.69,8138.78,7063209984,0.63,1199.57,33971919.1,3.83932E+12,499810,2.27,2693.13,1573.82,68.3,1348.8,17.24,0.81,6.27,2.13,0.0113212,25
20/04/2018,4,2018,0.018587,0.03677,0.117837,8845.83,8286.88,8880.23,8244.54,8438110208,0.82,1516.62,26146926.5,3.83932E+12,509923,2.43,2670.14,1564.12,68.26,1338.3,17.16,0.81,6.28,2.14,0.0037763,26
21/04/2018,4,2018,0.011582,0.036116,0.116812,8895.58,8848.79,8997.57,8652.15,7548550144,0.76,1219.97,30345703,3.83932E+12,437088,2.46,2670.29,1564.12,67.61,1324,17.16,0.81,6.28,2.16,0.0188555,32
22/04/2018,4,2018,0.007462,0.033472,0.115075,8802.46,8925.06,9001.64,8779.61,6629899776,0.56,1074.19,30536556.5,3.83932E+12,396698,2.05,2670.29,1564.12,67.61,1324,17.16,0.81,6.28,2.16,-0.0027288,31
23/04/2018,4,2018,0.013651,0.033942,0.115311,8930.88,8794.39,8958.55,8788.81,6925190144,0.76,1479.43,29200582.2,3.83932E+12,488406,1.92,2670.29,1562.12,67.61,1324,16.59,0.81,6.3,2.16,0.0086828,28
24/04/2018,4,2018,0.022752,0.037959,0.116304,9697.50,8934.34,9732.61,8927.83,10678800384,0.97,1600.58,30345703,3.83932E+12,548252,2.6,2634.56,1553.28,67.66,1333,16.79,0.82,6.32,2.18,0.0187183,29
25/04/2018,4,2018,0.021812,0.043481,0.114853,8845.74,9701.03,9745.32,8799.84,11083100160,1.04,1732.97,23474977.8,3.83932E+12,476860,2.86,2639.4,1550.47,68,1322.8,16.58,0.82,6.31,2.19,0.0161366,64
26/04/2018,4,2018,0.014447,0.044343,0.114507,9281.51,8867.32,9281.51,8727.09,8970559488,0.89,1537.11,26910340.4,3.83932E+12,482589,2.5,2666.94,1557.89,68.18,1317.9,16.57,0.82,6.32,2.18,0.0100869,47
